NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
ad_T  12  491.719868  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.784420  0.048195  6.996760
ad_T  13  493.255706  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.799300  0.048195  6.996760
ad_T  14  491.499357  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.789380  0.048195  6.996760
ad_T  15  492.539208  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.796820  0.048195  6.996760
ad_T  16  491.662087  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.791860  0.048195  6.996760
ad_T  17  492.250640  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.795580  0.048195  6.996760
ad_T  18  491.812263  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.793100  0.048195  6.996760
ad_T  19  492.123732  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794960  0.048195  6.996760
ad_T  20  491.906420  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.793720  0.048195  6.996760
au_T  1  3873.113532  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.731720  1.794340  0.048195  6.996760
au_T  2  4277.489938  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.645014  1.794340  0.048195  6.996760
au_T  3  1384.649220  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.710044  1.794340  0.048195  6.996760
